date,hour,zone,device_id,power_kw_mean,power_kw_peak,voltage_v_mean,power_factor_mean,thd_pct_mean
2026-07-05,9,building,meter-main-01,50.089999999999996,51.08,230.61666666666667,0.9433333333333334,2.953333333333333
2026-07-05,9,floor1,meter-floor1-01,49.693333333333335,54.34,228.6,0.9503333333333334,2.9166666666666665
2026-07-05,9,floor2,meter-floor2-01,51.81333333333333,52.49,229.5666666666667,0.9536666666666666,2.9600000000000004
2026-07-05,9,serverroom,meter-server-01,49.32666666666666,55.31,224.32333333333335,0.7293333333333333,14.463333333333333
2026-07-05,10,building,meter-main-01,50.730000000000004,56.55,230.2225,0.94975,2.8825
2026-07-05,10,floor1,meter-floor1-01,50.625,56.47,229.1275,0.958,2.61
2026-07-05,10,floor2,meter-floor2-01,48.0,49.12,230.20499999999998,0.9495,2.635
2026-07-05,10,serverroom,meter-server-01,49.394999999999996,53.51,229.52,0.732,14.79
2026-07-05,11,building,meter-main-01,48.9725,51.18,230.54,0.9522499999999999,2.75
2026-07-05,11,floor1,meter-floor1-01,50.3425,53.57,229.945,0.94575,2.8775
2026-07-05,11,floor2,meter-floor2-01,50.84,53.07,231.1325,0.95175,2.9875
2026-07-05,11,serverroom,meter-server-01,46.6725,51.62,230.02249999999998,0.74175,14.7125
2026-07-05,12,building,meter-main-01,49.8025,54.27,229.435,0.949,2.9225
2026-07-05,12,floor1,meter-floor1-01,53.475,56.28,230.39,0.9470000000000001,2.94
2026-07-05,12,floor2,meter-floor2-01,50.5475,55.61,229.86,0.942,2.6325
2026-07-05,12,serverroom,meter-server-01,47.0125,51.14,227.09,0.72925,14.7125
2026-07-05,13,building,meter-main-01,50.43,52.0,230.14,0.9464999999999999,2.6925
2026-07-05,13,floor1,meter-floor1-01,49.2525,52.22,230.4375,0.9524999999999999,2.8
2026-07-05,13,floor2,meter-floor2-01,50.754999999999995,53.55,229.82,0.93925,2.8025
2026-07-05,13,serverroom,meter-server-01,50.4575,54.14,229.4875,0.74775,15.1325
2026-07-05,14,building,meter-main-01,51.4425,52.08,230.055,0.95,2.8325
2026-07-05,14,floor1,meter-floor1-01,51.3225,54.4,230.385,0.94,3.0225
2026-07-05,14,floor2,meter-floor2-01,51.9825,54.87,228.85,0.9544999999999999,2.66
2026-07-05,14,serverroom,meter-server-01,48.2625,51.24,226.24,0.741,14.745000000000001
2026-07-05,15,building,meter-main-01,46.435,48.94,228.72,0.94775,2.8049999999999997
2026-07-05,15,floor1,meter-floor1-01,48.69,50.7,230.525,0.9542499999999999,2.8425
2026-07-05,15,floor2,meter-floor2-01,47.7375,50.08,228.95,0.94875,2.7275
2026-07-05,15,serverroom,meter-server-01,48.6625,51.22,229.9075,0.7324999999999999,14.525
2026-07-05,16,building,meter-main-01,52.175,53.82,230.0025,0.94575,2.6275
2026-07-05,16,floor1,meter-floor1-01,49.9675,54.69,229.51500000000001,0.946,2.99
2026-07-05,16,floor2,meter-floor2-01,50.9925,55.37,231.07,0.944,2.9074999999999998
2026-07-05,16,serverroom,meter-server-01,50.765,55.0,229.0,0.74,14.6425
2026-07-05,17,building,meter-main-01,47.235,54.01,229.49,0.95,2.845
2026-07-05,17,floor1,meter-floor1-01,48.2425,50.54,230.2025,0.94875,2.7275
2026-07-05,17,floor2,meter-floor2-01,52.4425,54.01,230.4,0.951,2.785
2026-07-05,17,serverroom,meter-server-01,48.67,49.7,226.6225,0.737,14.7575
2026-07-05,18,building,meter-main-01,49.335,50.97,230.2,0.9512499999999999,2.7800000000000002
2026-07-05,18,floor1,meter-floor1-01,50.9825,54.96,230.12,0.9504999999999999,3.04
2026-07-05,18,floor2,meter-floor2-01,51.5525,57.8,229.82,0.9425,2.8525
2026-07-05,18,serverroom,meter-server-01,48.2325,49.93,229.825,0.73125,14.83
2026-07-05,19,building,meter-main-01,51.8825,54.53,229.515,0.94675,2.7525
2026-07-05,19,floor1,meter-floor1-01,50.61,53.42,230.4425,0.95275,2.745
2026-07-05,19,floor2,meter-floor2-01,49.4375,53.99,229.595,0.9472499999999999,2.825
2026-07-05,19,serverroom,meter-server-01,51.0125,53.39,229.845,0.742,14.9175
2026-07-05,20,building,meter-main-01,50.05,51.28,229.57,0.9542499999999999,2.67
2026-07-05,20,floor1,meter-floor1-01,49.91,52.16,229.4625,0.9472499999999999,2.79
2026-07-05,20,floor2,meter-floor2-01,49.730000000000004,54.22,229.64249999999998,0.95375,2.755
2026-07-05,20,serverroom,meter-server-01,48.9775,54.88,227.365,0.732,14.765
2026-07-05,21,building,meter-main-01,49.822500000000005,52.32,228.5875,0.9455,2.79
2026-07-05,21,floor1,meter-floor1-01,49.4825,51.73,229.5925,0.94475,2.7575000000000003
2026-07-05,21,floor2,meter-floor2-01,49.8675,53.52,229.8775,0.944,2.94
2026-07-05,21,serverroom,meter-server-01,48.5625,52.42,230.23250000000002,0.73175,14.692499999999999
2026-07-05,22,building,meter-main-01,50.45,52.86,229.4425,0.93475,2.6425
2026-07-05,22,floor1,meter-floor1-01,49.59,50.96,230.07,0.94575,2.9075
2026-07-05,22,floor2,meter-floor2-01,47.845,49.52,229.19,0.9512499999999999,2.9475
2026-07-05,22,serverroom,meter-server-01,59.005,85.81,226.54500000000002,0.73475,15.4575
2026-07-05,23,building,meter-main-01,50.144999999999996,54.22,229.8625,0.9484999999999999,2.69
2026-07-05,23,floor1,meter-floor1-01,49.41,51.9,230.73000000000002,0.9482499999999999,2.81
2026-07-05,23,floor2,meter-floor2-01,53.175,53.69,230.225,0.95175,2.73
2026-07-05,23,serverroom,meter-server-01,56.3825,88.71,227.0925,0.7375,15.695
2026-07-06,0,building,meter-main-01,50.4475,55.98,229.4425,0.9442499999999999,2.6375
2026-07-06,0,floor1,meter-floor1-01,48.775,49.73,230.1975,0.94975,3.0325
2026-07-06,0,floor2,meter-floor2-01,50.205,53.11,230.135,0.9584999999999999,2.7874999999999996
2026-07-06,0,serverroom,meter-server-01,48.69,52.72,229.2,0.73775,14.815000000000001
2026-07-06,1,building,meter-main-01,50.6875,53.69,229.97,0.9482499999999999,2.66
2026-07-06,1,floor1,meter-floor1-01,48.42,50.03,229.33249999999998,0.9455,2.995
2026-07-06,1,floor2,meter-floor2-01,48.705,53.41,229.535,0.9435,2.8375
2026-07-06,1,serverroom,meter-server-01,49.89,51.31,230.1525,0.74625,15.03
2026-07-06,2,building,meter-main-01,47.945,49.03,230.2,0.94825,2.6525
2026-07-06,2,floor1,meter-floor1-01,48.53,51.29,231.18,0.94,3.2075
2026-07-06,2,floor2,meter-floor2-01,51.17,54.49,229.335,0.9544999999999999,2.9175
2026-07-06,2,serverroom,meter-server-01,68.0675,124.62,230.0075,0.74175,15.4825
2026-07-06,3,building,meter-main-01,51.705,54.11,228.82,0.951,2.75
2026-07-06,3,floor1,meter-floor1-01,50.74,53.07,230.9725,0.9385,2.87
2026-07-06,3,floor2,meter-floor2-01,52.69,54.28,230.345,0.9432499999999999,2.8375
2026-07-06,3,serverroom,meter-server-01,51.0075,54.12,231.0,0.737,14.627500000000001
2026-07-06,4,building,meter-main-01,51.595,53.97,230.1625,0.951,2.77
2026-07-06,4,floor1,meter-floor1-01,47.6375,50.14,230.46,0.9475,2.93
2026-07-06,4,floor2,meter-floor2-01,51.68,56.46,229.88,0.9445,2.755
2026-07-06,4,serverroom,meter-server-01,55.3775,76.98,230.745,0.73375,15.735
2026-07-06,5,building,meter-main-01,50.47,54.91,230.7175,0.9492499999999999,2.72
2026-07-06,5,floor1,meter-floor1-01,50.980000000000004,53.18,230.555,0.95475,2.6525
2026-07-06,5,floor2,meter-floor2-01,48.364999999999995,49.57,230.5525,0.9512499999999999,2.975
2026-07-06,5,serverroom,meter-server-01,52.1675,55.56,230.2525,0.73625,14.8175
2026-07-06,6,building,meter-main-01,52.4025,54.3,230.7,0.9495,2.725
2026-07-06,6,floor1,meter-floor1-01,51.8525,54.07,230.29,0.958,3.05
2026-07-06,6,floor2,meter-floor2-01,49.3625,50.99,230.015,0.9475,2.7675
2026-07-06,6,serverroom,meter-server-01,49.9525,51.62,230.33499999999998,0.732,14.92
2026-07-06,7,building,meter-main-01,50.6325,55.46,230.285,0.95775,2.845
2026-07-06,7,floor1,meter-floor1-01,47.015,55.22,231.425,0.9512499999999999,2.9749999999999996
2026-07-06,7,floor2,meter-floor2-01,49.935,51.73,229.6225,0.948,2.75
2026-07-06,7,serverroom,meter-server-01,57.935,75.97,229.42000000000002,0.74,15.5675
2026-07-06,8,building,meter-main-01,92.4425,101.88,230.515,0.94575,2.6175
2026-07-06,8,floor1,meter-floor1-01,90.705,95.77,229.33499999999998,0.9495,2.8875
2026-07-06,8,floor2,meter-floor2-01,90.46249999999999,98.49,230.365,0.9415,2.7649999999999997
2026-07-06,8,serverroom,meter-server-01,103.125,139.97,229.395,0.737,15.57
2026-07-06,9,building,meter-main-01,107.355,114.54,229.97750000000002,0.952,2.6175
2026-07-06,9,floor1,meter-floor1-01,108.625,113.93,230.1,0.955,3.1075
2026-07-06,9,floor2,meter-floor2-01,103.5975,107.77,229.6275,0.9575,2.97
2026-07-06,9,serverroom,meter-server-01,104.3175,109.05,228.13,0.72625,15.015
2026-07-06,10,building,meter-main-01,120.8425,124.36,229.43,0.95275,2.8375
2026-07-06,10,floor1,meter-floor1-01,120.955,127.47,230.36,0.9452499999999999,2.7875
2026-07-06,10,floor2,meter-floor2-01,122.96,129.48,229.45749999999998,0.94225,2.8775
2026-07-06,10,serverroom,meter-server-01,135.64249999999998,190.28,229.7075,0.73975,15.58
2026-07-06,11,building,meter-main-01,135.98,140.36,231.3925,0.9525,2.8275
2026-07-06,11,floor1,meter-floor1-01,136.885,141.74,230.575,0.95075,2.885
2026-07-06,11,floor2,meter-floor2-01,133.1175,137.14,230.4775,0.9595,2.69
2026-07-06,11,serverroom,meter-server-01,137.92,142.98,230.6,0.73775,14.8475
2026-07-06,12,building,meter-main-01,143.6,147.24,229.245,0.9445,2.835
2026-07-06,12,floor1,meter-floor1-01,146.9925,150.81,230.3375,0.9504999999999999,2.8600000000000003
2026-07-06,12,floor2,meter-floor2-01,150.7975,155.35,229.565,0.95975,2.815
2026-07-06,12,serverroom,meter-server-01,147.985,155.34,229.1925,0.738,14.82
2026-07-06,13,building,meter-main-01,157.025,159.85,230.5075,0.946,2.72
2026-07-06,13,floor1,meter-floor1-01,152.5325,153.73,229.57999999999998,0.9435,3.1125
2026-07-06,13,floor2,meter-floor2-01,154.7075,159.33,230.8475,0.949,2.685
2026-07-06,13,serverroom,meter-server-01,164.5575,196.57,229.8025,0.735,15.727500000000001
2026-07-06,14,building,meter-main-01,159.1825,163.13,230.3275,0.9542499999999999,3.0575
2026-07-06,14,floor1,meter-floor1-01,158.6875,162.23,229.1,0.95775,2.995
2026-07-06,14,floor2,meter-floor2-01,160.275,164.47,230.22,0.9532499999999999,2.8625
2026-07-06,14,serverroom,meter-server-01,160.29500000000002,163.05,229.1175,0.737,14.79
2026-07-06,15,building,meter-main-01,159.9175,160.38,231.0075,0.955,2.69
2026-07-06,15,floor1,meter-floor1-01,159.885,164.09,230.0275,0.94225,3.005
2026-07-06,15,floor2,meter-floor2-01,158.1475,161.57,229.5025,0.95375,2.7775
2026-07-06,15,serverroom,meter-server-01,160.0125,160.6,229.6975,0.73225,14.965
2026-07-06,16,building,meter-main-01,158.54500000000002,158.98,230.64499999999998,0.94225,2.7025
2026-07-06,16,floor1,meter-floor1-01,154.3775,156.18,230.7875,0.95175,3.0275
2026-07-06,16,floor2,meter-floor2-01,157.3425,159.67,230.0325,0.94225,2.7649999999999997
2026-07-06,16,serverroom,meter-server-01,156.065,160.72,227.4125,0.73475,14.879999999999999
2026-07-06,17,building,meter-main-01,147.565,154.21,230.3725,0.9544999999999999,3.06
2026-07-06,17,floor1,meter-floor1-01,148.575,152.05,229.66750000000002,0.947,2.88
2026-07-06,17,floor2,meter-floor2-01,148.18,151.18,229.8775,0.947,2.8
2026-07-06,17,serverroom,meter-server-01,145.5675,148.36,229.91500000000002,0.73025,14.8625
2026-07-06,18,building,meter-main-01,139.20999999999998,145.6,230.695,0.9562499999999999,2.895
2026-07-06,18,floor1,meter-floor1-01,135.765,140.92,230.2275,0.9385,2.9975
2026-07-06,18,floor2,meter-floor2-01,136.71499999999997,142.01,230.20499999999998,0.952,2.7824999999999998
2026-07-06,18,serverroom,meter-server-01,138.8675,144.64,226.7525,0.7335,14.8225
2026-07-06,19,building,meter-main-01,50.9625,51.47,229.9975,0.94625,2.83
2026-07-06,19,floor1,meter-floor1-01,48.4425,49.2,229.7,0.94875,3.1675
2026-07-06,19,floor2,meter-floor2-01,48.254999999999995,52.79,230.2425,0.958,2.755
2026-07-06,19,serverroom,meter-server-01,49.1375,51.99,227.375,0.737,14.865
2026-07-06,20,building,meter-main-01,54.4625,58.88,230.0925,0.9504999999999999,2.965
2026-07-06,20,floor1,meter-floor1-01,52.65,56.7,230.26999999999998,0.9445,3.04
2026-07-06,20,floor2,meter-floor2-01,52.54,53.67,229.0525,0.9515,2.825
2026-07-06,20,serverroom,meter-server-01,62.417500000000004,90.65,229.7975,0.734,15.7
2026-07-06,21,building,meter-main-01,49.9325,55.69,230.2625,0.9455,2.755
2026-07-06,21,floor1,meter-floor1-01,51.120000000000005,54.38,228.875,0.9390000000000001,2.9274999999999998
2026-07-06,21,floor2,meter-floor2-01,52.295,53.68,229.64000000000001,0.94525,2.6174999999999997
2026-07-06,21,serverroom,meter-server-01,60.29,83.3,230.0975,0.72875,15.73
2026-07-06,22,building,meter-main-01,48.6225,50.28,229.7275,0.9472499999999999,2.6025
2026-07-06,22,floor1,meter-floor1-01,47.3625,52.76,229.75,0.93425,3.0175
2026-07-06,22,floor2,meter-floor2-01,51.682500000000005,54.89,229.85750000000002,0.9482499999999999,2.8325
2026-07-06,22,serverroom,meter-server-01,48.585,51.15,230.115,0.74225,14.9225
2026-07-06,23,building,meter-main-01,50.455,54.8,231.07999999999998,0.94675,2.91
2026-07-06,23,floor1,meter-floor1-01,50.205,52.5,230.06,0.94375,3.06
2026-07-06,23,floor2,meter-floor2-01,48.2175,54.19,229.98,0.949,2.7199999999999998
2026-07-06,23,serverroom,meter-server-01,72.32,111.92,224.185,0.733,16.4375
2026-07-07,0,building,meter-main-01,49.5975,52.32,229.95,0.95275,2.9675000000000002
2026-07-07,0,floor1,meter-floor1-01,49.43,51.12,229.745,0.9405,3.025
2026-07-07,0,floor2,meter-floor2-01,50.4875,53.24,230.4775,0.9415,2.8475
2026-07-07,0,serverroom,meter-server-01,61.5175,88.54,230.175,0.73425,15.5725
2026-07-07,1,building,meter-main-01,50.832499999999996,55.01,229.885,0.9535,2.725
2026-07-07,1,floor1,meter-floor1-01,49.2825,54.87,230.7825,0.9359999999999999,3.1
2026-07-07,1,floor2,meter-floor2-01,52.6575,58.32,228.8825,0.95075,2.7975
2026-07-07,1,serverroom,meter-server-01,49.4225,56.4,229.1975,0.73,14.975
2026-07-07,2,building,meter-main-01,47.2575,49.81,229.49,0.9522499999999999,2.715
2026-07-07,2,floor1,meter-floor1-01,51.9375,55.85,229.5,0.93525,3.3525
