date,hour,zone,device_id,occupancy_mean,occupancy_peak,desk_utilization_pct,booking_rate,ghost_bookings
2026-07-05,9,floor1,occ-floor1-01,0.5,1.0,0.0,0.0,0
2026-07-05,9,floor2,occ-floor2-01,1.5,2.0,0.0,0.0,0
2026-07-05,9,meetingA,occ-meeting-a,1.0,1.0,0.0,0.0,0
2026-07-05,9,meetingB,occ-meeting-b,1.0,2.0,0.0,0.0,0
2026-07-05,10,floor1,occ-floor1-01,0.0,0.0,0.0,0.0,0
2026-07-05,10,floor2,occ-floor2-01,2.0,2.0,0.0,0.0,0
2026-07-05,10,meetingA,occ-meeting-a,2.5,3.0,1.25,0.0,0
2026-07-05,10,meetingB,occ-meeting-b,1.0,2.0,0.0,0.0,0
2026-07-05,11,floor1,occ-floor1-01,2.5,3.0,1.25,0.0,0
2026-07-05,11,floor2,occ-floor2-01,1.5,2.0,0.0,0.0,0
2026-07-05,11,meetingA,occ-meeting-a,0.5,1.0,0.0,0.0,0
2026-07-05,11,meetingB,occ-meeting-b,2.0,2.0,0.0,0.0,0
2026-07-05,12,floor1,occ-floor1-01,0.5,1.0,0.0,0.0,0
2026-07-05,12,floor2,occ-floor2-01,1.0,1.0,0.0,0.0,0
2026-07-05,12,meetingA,occ-meeting-a,1.0,2.0,0.0,0.0,0
2026-07-05,12,meetingB,occ-meeting-b,1.5,2.0,0.0,0.0,0
2026-07-05,13,floor1,occ-floor1-01,1.5,2.0,0.0,0.0,0
2026-07-05,13,floor2,occ-floor2-01,1.0,2.0,0.0,0.0,0
2026-07-05,13,meetingA,occ-meeting-a,1.0,2.0,0.0,0.0,0
2026-07-05,13,meetingB,occ-meeting-b,1.5,2.0,0.0,0.0,0
2026-07-05,14,floor1,occ-floor1-01,1.0,1.0,0.0,0.0,0
2026-07-05,14,floor2,occ-floor2-01,0.5,1.0,0.0,0.0,0
2026-07-05,14,meetingA,occ-meeting-a,0.5,1.0,1.25,0.0,0
2026-07-05,14,meetingB,occ-meeting-b,1.0,1.0,0.0,0.0,0
2026-07-05,15,floor1,occ-floor1-01,1.5,2.0,0.0,0.0,0
2026-07-05,15,floor2,occ-floor2-01,1.0,1.0,1.25,0.0,0
2026-07-05,15,meetingA,occ-meeting-a,1.5,2.0,0.0,0.0,0
2026-07-05,15,meetingB,occ-meeting-b,1.5,2.0,0.0,0.0,0
2026-07-05,16,floor1,occ-floor1-01,2.5,3.0,1.25,0.0,0
2026-07-05,16,floor2,occ-floor2-01,1.5,2.0,0.0,0.0,0
2026-07-05,16,meetingA,occ-meeting-a,2.5,3.0,1.25,0.0,0
2026-07-05,16,meetingB,occ-meeting-b,0.5,1.0,0.0,0.0,0
2026-07-05,17,floor1,occ-floor1-01,1.0,1.0,0.0,0.0,0
2026-07-05,17,floor2,occ-floor2-01,1.5,2.0,0.0,0.0,0
2026-07-05,17,meetingA,occ-meeting-a,1.0,2.0,0.0,0.0,0
2026-07-05,17,meetingB,occ-meeting-b,0.5,1.0,0.0,0.0,0
2026-07-05,18,floor1,occ-floor1-01,2.0,2.0,0.0,0.0,0
2026-07-05,18,floor2,occ-floor2-01,0.5,1.0,0.0,0.0,0
2026-07-05,18,meetingA,occ-meeting-a,1.0,2.0,0.0,0.0,0
2026-07-05,18,meetingB,occ-meeting-b,1.5,2.0,0.0,0.0,0
2026-07-05,19,floor1,occ-floor1-01,0.0,0.0,0.0,0.0,0
2026-07-05,19,floor2,occ-floor2-01,2.0,2.0,0.0,0.0,0
2026-07-05,19,meetingA,occ-meeting-a,1.0,2.0,0.0,0.0,0
2026-07-05,19,meetingB,occ-meeting-b,1.0,2.0,0.0,0.0,0
2026-07-05,20,floor1,occ-floor1-01,1.5,2.0,0.0,0.0,0
2026-07-05,20,floor2,occ-floor2-01,0.0,0.0,0.0,0.0,0
2026-07-05,20,meetingA,occ-meeting-a,0.0,0.0,0.0,0.0,0
2026-07-05,20,meetingB,occ-meeting-b,0.5,1.0,0.0,0.0,0
2026-07-05,21,floor1,occ-floor1-01,1.5,2.0,0.0,0.0,0
2026-07-05,21,floor2,occ-floor2-01,1.0,1.0,0.0,0.0,0
2026-07-05,21,meetingA,occ-meeting-a,1.0,1.0,0.0,0.0,0
2026-07-05,21,meetingB,occ-meeting-b,0.0,0.0,0.0,0.0,0
2026-07-05,22,floor1,occ-floor1-01,0.0,0.0,0.0,0.0,0
2026-07-05,22,floor2,occ-floor2-01,1.5,2.0,0.0,0.0,0
2026-07-05,22,meetingA,occ-meeting-a,1.5,2.0,0.0,0.0,0
2026-07-05,22,meetingB,occ-meeting-b,0.5,1.0,0.0,0.0,0
2026-07-05,23,floor1,occ-floor1-01,1.5,2.0,1.25,0.0,0
2026-07-05,23,floor2,occ-floor2-01,2.0,2.0,0.0,0.0,0
2026-07-05,23,meetingA,occ-meeting-a,0.5,1.0,0.0,0.0,0
2026-07-05,23,meetingB,occ-meeting-b,1.5,2.0,0.0,0.0,0
2026-07-06,0,floor1,occ-floor1-01,1.5,2.0,1.25,0.0,0
2026-07-06,0,floor2,occ-floor2-01,2.0,2.0,0.0,0.0,0
2026-07-06,0,meetingA,occ-meeting-a,0.0,0.0,0.0,0.0,0
2026-07-06,0,meetingB,occ-meeting-b,1.0,2.0,0.0,0.0,0
2026-07-06,1,floor1,occ-floor1-01,1.5,2.0,0.0,0.0,0
2026-07-06,1,floor2,occ-floor2-01,1.0,1.0,0.0,0.0,0
